District;2018;2019;2020;2021;2022;2023;2024
Nkandla LM: KZN286;6,1;3;4,2;2,3;2,7;3,8;0,52
Nkangala DM: DC31;13,6;11,8;11,1;9,4;9;7,8;5,3
Nketoana LM: FS193;6,1;6,6;11,1;10,1;12,4;9,2;5,2
Nkomazi LM: MP324;7,8;4,3;3,5;3;3,7;3,5;2
NM Molema DM: DC38;10,4;9,6;8,3;7,2;4;3,1;2,5
Nongoma LM: KZN265;1,9;1,1;2,5;2;0,85;0,55;0,74
North West: NW;14,3;11;9,2;7;5,3;4,8;3,5
Northern Cape: NC;11,8;14,8;16,4;16,2;14,8;14,3;9,5
Nquthu LM: KZN242;1;1,2;0,23;0,47;0,41;0,98;0
Ntabankulu LM: EC444;4,5;5,1;8,6;6,2;7,1;8,2;9
Nyandeni LM: EC155;12,6;11,9;9,4;9,9;10,1;8,4;6,1
Okhahlamba LM: KZN235;6,1;5,8;6,4;2,6;4;4,6;2,2
OR Tambo DM: DC15;14,5;12,5;11;9,3;10,6;8,6;6,1
Oudtshoorn LM: WC045;18;14,6;24;17;18,5;18,7;17,5
Overberg DM: DC3;9,8;12,3;8,3;9,2;25,2;25,5;15,5
Overstrand LM: WC032;10,1;16,4;9,5;10;14,1;14,7;10,2
Phokwane LM: NC094;13,6;17,8;18,3;15,7;17,6;13;10,4
Phumelela LM: FS195;9,3;5;0;12,5;18,2;11,8;12,2
Pixley Ka Seme DM: DC7;9,7;12,2;17;15,5;16,4;15,2;10,1
Polokwane LM: LIM354;10;5;6,8;5,7;2,9;1,6;0,93
Port St Johns LM: EC154;13,1;10,2;10,5;10;9,5;10,7;7,3
Prince Albert LM: WC052;9,9;9,2;9,2;36,1;32,1;17,6;18,5
R Moiloa LM: NW385;10,2;9,4;9,4;6,5;7,1;7,1;5
Rand West City LM: GT485;3,8;3,6;3,2;2,3;7,3;4,7;5
Ratlou LM: NW381;10,2;11,9;6,9;5,5;2,9;1,3;0,57
Ray Nkonyeni LM: KZN216;11,6;10,6;12,3;12,3;7,5;5,4;4,7
Raymond Mhlaba LM: EC129;13,9;11,3;16,4;16,1;16,7;15;13,2
Renosterberg LM: NC075;2,5;1,8;9,8;8,1;10,7;7,8;1,2
Richmond LM: KZN227;4;6,2;2;2,2;2,7;2,6;3,2
Richtersveld LM: NC061;13,3;12,2;13,2;13,1;14,3;17,9;16
RS Mompati DM: DC39;12,7;14,4;12,5;9,4;7,1;5,7;4
Rustenburg LM: NW373;14,2;8,5;8,7;6,4;5,8;5,4;5,1
Sakhisizwe LM: EC138;11;5,7;5,3;5,8;10,5;9,4;12,9
Saldanha Bay LM: WC014;17,1;13;16,1;20,7;13,8;21,1;15,6
Sarah Baartman DM: DC10;16,3;14,4;16,5;17,5;15,9;17;13,7
Sedibeng DM: DC42;11,7;8,2;9,1;9,5;7,4;7,6;5,7
Sekhukhune DM: DC47;8,4;7,7;6,3;4,5;6;5,2;6,1
Senqu LM: EC142;10,8;11,6;10,6;9,6;10,8;8,8;6
Setsoto LM: FS191;4;2;5,2;5,5;5,1;5,3;3,6
Siyancuma LM: NC078;13,6;14,2;18,1;16,5;17,5;14,2;8,7
Siyathemba LM: NC077;6,7;10,3;15,6;16,2;13,9;10,8;6,6
Sol Plaatje LM: NC091;15,3;17;19,4;20;16,5;12,7;10,1
South Africa: ZA;11,8;10,7;10;10,1;10,9;10,2;8,1
Stellenbosch LM: WC024;19,6;24,3;20,3;17,9;14,3;21,7;14,1
Steve Tshwete LM: MP313;15,6;12,5;8,9;7,1;9;7,9;4,7
Sundays River Valley LM: EC106;19,9;19;19,8;20,2;11,1;17;20,2
Swartland LM: WC015;11,4;7,6;9,3;11,1;16,6;19,8;17,8
Swellendam LM: WC034;5,9;4,8;5,3;14,3;20,7;18,6;11,2
T Mofutsanyana DM: DC19;8,2;5,6;6,1;6,8;7,8;6,7;5,4
Thaba Chweu LM: MP321;7,7;6,9;1,4;2,8;2,7;2,7;1,9
Thaba N'chu SD: MAN_Thaba;9,5;6,4;10,9;14,4;10,3;9,1;5,9
Thabazimbi LM: LIM361;5,3;3,7;1,1;2;1,5;2,3;1,3
Theewaterskloof LM: WC031;10,3;12,8;7,7;3,9;34,3;34;18,7
Thembelihle LM: NC076;3,2;12,6;12,1;9,9;7,7;8,5;3,5
Thembisile Hani LM: MP315;17,4;10,7;10,1;7,6;5,9;5,6;5,3
Thulamela LM: LIM343;11;5,4;2,5;1,5;2,5;3,2;1,4
Tokologo LM: FS182;8,3;14,8;16,3;16,5;12,5;7,2;4,4
Tsantsabane LM: NC085;18,6;14,9;20,5;14,2;11,5;15,6;5,8
Tshwane 1 SD: TSH_1;12,4;10,2;8,6;7,8;6,5;6;5,6
Tshwane 2 SD: TSH_2;12,7;9,8;6,1;5,6;4,7;6,4;4,8
Tshwane 3 SD: TSH_3;10,8;10,2;7,1;5,2;4,6;7,2;5,2
Tshwane 4 SD: TSH_4;14,8;11,6;13,7;11,5;16,4;15,8;11,7
Tshwane 5 SD: TSH_5;16;14,2;7,1;14,4;13,9;14,4;12,5
Tshwane 6 SD: TSH_6;18,4;15,6;10,5;8,2;6,4;7,5;6,8
Tshwane 7 SD: TSH_7;12,5;17;9,1;6,8;8,2;9,7;9,2
Tshwane MM: TSH;13,3;11,4;8,4;7,3;6,5;7,5;6,3
Tshwane MM: TSH_MM;13,3;11,4;8,4;7,3;6,5;7,5;6,3
Tswaing LM: NW382;10,7;10,4;11,3;9,6;8,2;4,7;4,8
Tswelopele LM: FS183;14,6;13,1;10,8;9,6;10,6;11,6;10,9
Ubuhlebezwe LM: KZN434;7,5;5,9;4,9;10,4;5,4;5,4;7,4
Ubuntu LM: NC071;12,3;9,3;20;23,2;28,6;21,6;12,8
Ugu DM: DC21;8,8;9,1;9,7;10,1;6,8;4,9;3,5
Ulundi LM: KZN266;3,3;5,1;3,6;1,9;3,8;2,4;1,5
Umdoni LM: KZN212;3,7;6,6;5,1;4,8;4,1;4;0,71
uMfolozi LM: KZN281;12,8;12,8;11,8;11,5;13,2;7,5;4,5
uMgungundlovu DM: DC22;8,2;6,6;7,8;6,7;5,7;5,5;3,9
Umhlabuyalingana LM: KZN271;5,1;2,3;3,5;0,87;1,4;1,4;0,47
uMkhanyakude DM: DC27;4,1;3,5;4,1;2,8;2,3;1,7;1,4
uMlalazi LM: KZN284;8,7;7,4;7,6;10,5;7;4,5;3,2
uMngeni LM: KZN222;13;9;6,6;9,4;3,4;0,62;2
uMshwathi LM: KZN221;5,8;11;13;8,5;8,5;5,2;3,4
Umsobomvu LM: NC072;13,5;18,3;13,8;19,5;17,4;20,9;15,8
uMuziwabantu LM: KZN214;9,2;7;8,8;11,2;8;6,6;4,3
Umvoti LM: KZN245;0,5;1,6;0,59;0;0,28;0;0
Umzimkhulu LM: KZN435;7,2;5,5;7,3;6,5;11,9;8;6,1
Umzimvubu LM: EC442;5,7;3,8;3,8;6,8;4,3;7,4;6,4
uMzinyathi DM: DC24;0,91;1,6;0,73;0,36;0,37;0,57;0,27
Umzumbe LM: KZN213;5,9;10,1;9,1;9,5;7,5;3;2,7
uPhongolo LM: KZN262;12,8;3,5;3,5;3,7;1,5;0,52;0,62
uThukela DM: DC23;9;6,1;5;4,5;5,6;6,3;3,8
Vhembe DM: DC34;12,6;9;5,6;3,7;4;3,3;1,6
Victor Khanye LM: MP311;14,6;16,3;14,2;13,6;9,8;14,9;8,7
Walter Sisulu LM: EC145;17;16,3;14,1;7,6;14,1;13,9;13,2
Waterberg DM: DC36;6,5;5,6;5,2;6,4;5;2,8;2
West Coast DM: DC1;12,1;9,5;12,3;15,6;15,5;18,2;15
West Rand DM: DC48;5,6;2,5;2,8;2,4;4,5;3,6;3,2
Western Cape: WC;17,1;15,9;14,7;17;20,9;19;14,7
Witzenberg LM: WC022;22,6;19,2;14,1;18,5;20,8;18,6;17,5
Xhariep DM: DC16;10;10,7;17,3;18,1;10,6;12,8;8,4
ZF Mgcawu DM: DC8;11,1;12,4;15;15,9;14,5;15,3;9,3
Zululand DM: DC26;3,7;3;3;2,4;2,1;1,4;0,92
