geo_area;geo_prov;All DS TB patients in cohort;DS TB patients who completed treatment or were cured;DS TB patients who died;DS TB patients who were lost to follow up;Medical scheme coverage (ave);Number of TB tests conducted;Percentage of target tested for TB;Population density;TB DS client lost to follow up rate;TB DS death rate;TB MDR client death rate;TB/HIV co-infected client on ART rate (ETR.Net)
Mhlontlo LM: EC156;EC;960;476;50;79;;;;;8,2;5,2;0;96,07
Midvaal LM: GT422;GP;100;122;8;13;;;;;13;8;0;100
Mkhambathini LM: KZN226;KZ;100;97;6;4;;;;;4;6;;95,12
Mkhondo LM: MP303;MP;390;223;13;5;;;;;1,3;3,3;;92,57
Mnquma LM: EC122;EC;1278;662;63;60;;;;;4,7;4,9;0;97,23
Mogalakwena LM: LIM367;LP;605;307;49;15;;;;;2,5;8,1;;93,36
Mogale City LM: GT481;GP;1362;426;46;29;;;;;2,1;3,4;0;97,49
Mohokare LM: FS163;FS;203;94;11;13;;;;;6,4;5,4;;87,18
Molemole LM: LIM353;LP;183;121;17;0;;;;;0;9,3;;97,03
Mookgophong/Modimolle LM: LIM368;LP;224;123;14;5;;;;;2,2;6,3;0;89,61
Mopani DM: DC33;LP;2175;1079;180;69;7,93;14276;56,103;64,687;3,2;8,3;14,3;95,8
Moqhaka LM: FS201;FS;758;311;35;66;;;;;8,7;4,6;0;95,16
Moretele LM: NW371;NW;200;207;15;12;;;;;6;7,5;;97,2
Moses Kotane LM: NW375;NW;486;218;54;24;;;;;4,9;11,1;0;96,3
Mossel Bay LM: WC043;WC;861;428;43;179;;;;;20,8;5;0;84,15
Mpofana LM: KZN223;KZ;47;43;1;0;;;;;0;2,1;0;96,67
Mpumalanga: MP;MP;11042;6227;713;409;10,4;207987;130,582;66,1;3,7;6,5;2,1;94,15
Msinga LM: KZN244;KZ;307;193;21;2;;;;;0,65;6,8;;97,58
Msukaligwa LM: MP302;MP;419;226;23;11;;;;;2,6;5,5;0;91,72
Msunduzi LM: KZN225;KZ;2770;1433;99;115;;;;;4,2;3,6;3,7;94,38
Mthonjaneni LM: KZN285;KZ;224;128;11;5;;;;;2,2;4,9;0;97,76
Mtubatuba LM: KZN275;KZ;388;349;16;11;;;;;2,8;4,1;;98,35
Musina LM: LIM341;LP;203;98;14;5;;;;;2,5;6,9;;80,83
N Mandela A SD: NMA_A;EC;3635;2095;168;659;;;;;18,1;4,6;0;96,6
N Mandela B SD: NMA_B;EC;2997;1757;171;517;;;;;17,3;5,7;5,5;96,2
N Mandela Bay MM: NMA;EC;10888;6174;431;1631;21,3;84831;50,183;645,062;15;4;4,7;96,07
N Mandela Bay MM: NMA_MM;EC;10888;6174;431;1631;;;;;15;4;4,7;96,07
N Mandela C SD: NMA_C;EC;4256;2322;92;455;;;;;10,7;2,2;0;95,31
Nala LM: FS185;FS;181;135;21;21;;;;;11,6;11,6;;97,1
Naledi LM: NW392;NW;392;246;12;1;;;;;0,26;3,1;0;91,03
Naledi SD: MAN_Naledi;FS;50;37;1;1;;;;;2;2;;100
Nama Khoi LM: NC062;NC;250;136;15;15;;;;;6;6;;61,11
Namakwa DM: DC6;NC;856;486;34;90;15,75;10629;99,945;1,009;10,5;4;;79,35
Ndlambe LM: EC105;EC;616;301;19;73;;;;;11,9;3,1;0;96,07
Ndwedwe LM: KZN293;KZ;382;237;39;14;;;;;3,7;10,2;0;96,49
Newcastle LM: KZN252;KZ;1432;740;65;72;;;;;5;4,5;0;97,81
Ngqushwa LM: EC126;EC;375;203;35;19;;;;;5,1;9,3;;96,46
Ngwathe LM: FS203;FS;444;212;35;40;;;;;9;7,9;0;92,22
Nkandla LM: KZN286;KZ;381;213;34;2;;;;;0,52;8,9;;97,31
Nkangala DM: DC31;MP;3010;1699;165;159;10,62;45652;91,521;105,885;5,3;5,5;0;92,11
Nketoana LM: FS193;FS;97;68;17;5;;;;;5,2;17,5;0;100
Nkomazi LM: MP324;MP;1213;746;86;24;;;;;2;7,1;;95,01
